attack,length,decoder,n,mean_hit_rate,mean_ber,exact_rate,mean_observed_bits_len,mean_attacked_token_len
clean,25,syncmark_alignment,19,0.6217105263157895,0.3782894736842105,0.0,23.0,159.89473684210526
clean,25,syncmark_position_vote,19,0.8322368421052632,0.16776315789473684,0.05263157894736842,23.0,159.89473684210526
clean,50,syncmark_alignment,19,0.6513157894736842,0.3486842105263158,0.0,48.0,159.89473684210526
clean,50,syncmark_position_vote,19,0.8947368421052632,0.10526315789473684,0.15789473684210525,48.0,159.89473684210526
clean,100,syncmark_alignment,19,0.8486842105263158,0.15131578947368418,0.10526315789473684,98.0,159.89473684210526
clean,100,syncmark_position_vote,19,0.9276315789473685,0.07236842105263153,0.47368421052631576,98.0,159.89473684210526
delete10,25,syncmark_alignment,19,0.5888157894736842,0.4111842105263158,0.0,23.0,144.0
delete10,25,syncmark_position_vote,19,0.5723684210526315,0.4276315789473685,0.0,23.0,144.0
delete10,50,syncmark_alignment,19,0.6052631578947368,0.39473684210526316,0.0,48.0,144.0
delete10,50,syncmark_position_vote,19,0.5723684210526315,0.4276315789473685,0.0,48.0,144.0
delete10,100,syncmark_alignment,19,0.5526315789473685,0.4473684210526315,0.0,98.0,144.0
delete10,100,syncmark_position_vote,19,0.5493421052631579,0.45065789473684215,0.0,98.0,144.0
insert10,25,syncmark_alignment,19,0.48355263157894735,0.5164473684210527,0.0,23.0,175.21052631578948
insert10,25,syncmark_position_vote,19,0.5230263157894737,0.4769736842105263,0.0,23.0,175.21052631578948
insert10,50,syncmark_alignment,19,0.5657894736842105,0.4342105263157895,0.0,48.0,175.21052631578948
insert10,50,syncmark_position_vote,19,0.569078947368421,0.430921052631579,0.0,48.0,175.21052631578948
insert10,100,syncmark_alignment,19,0.5328947368421053,0.4671052631578947,0.0,98.0,175.21052631578948
insert10,100,syncmark_position_vote,19,0.5361842105263158,0.4638157894736842,0.0,98.0,175.21052631578948
mixed10,25,syncmark_alignment,19,0.5197368421052632,0.48026315789473684,0.0,23.0,160.26315789473685
mixed10,25,syncmark_position_vote,19,0.631578947368421,0.368421052631579,0.0,23.0,160.26315789473685
mixed10,50,syncmark_alignment,19,0.5986842105263158,0.4013157894736842,0.0,48.0,160.26315789473685
mixed10,50,syncmark_position_vote,19,0.618421052631579,0.381578947368421,0.0,48.0,160.26315789473685
mixed10,100,syncmark_alignment,19,0.6776315789473685,0.3223684210526315,0.05263157894736842,98.0,160.26315789473685
mixed10,100,syncmark_position_vote,19,0.5460526315789473,0.45394736842105265,0.0,98.0,160.26315789473685
